date,equity,cash,market_value,position_count
2023-01-02,1000000.0,1000000.0,0.0,0
2023-01-03,1000000.0,1000000.0,0.0,0
2023-01-04,1000000.0,1000000.0,0.0,0
2023-01-05,1000000.0,1000000.0,0.0,0
2023-01-06,1000000.0,1000000.0,0.0,0
2023-01-09,1000000.0,1000000.0,0.0,0
2023-01-10,999092.7695566175,54696.07955661758,944396.69,10
2023-01-11,996022.1908766174,7230.030876617584,988792.1599999999,13
2023-01-12,1002812.2608766176,7230.030876617584,995582.2300000001,13
2023-01-13,993452.3399706176,101652.4199706176,891799.9199999999,12
2023-01-16,985080.7010476175,99766.55104761761,885314.1499999999,17
2023-01-17,987011.3209315677,100502.47093156762,886508.8500000001,19
2023-01-18,986426.650998868,199753.90099886767,786672.7500000003,21
2023-01-19,989057.5866986177,22292.176698617666,966765.41,23
2023-01-20,988874.1071286178,3734.1171286176696,985139.9900000001,23
2023-01-23,992477.4176213279,29585.02762132767,962892.3900000002,21
2023-01-24,997794.7613704525,104585.4913704527,893209.2699999998,22
2023-01-25,1013065.8457488926,26383.635748892695,986682.21,22
2023-01-26,1019037.1519888928,5248.811988892699,1013788.3400000001,24
2023-01-27,1030428.2019888926,5248.811988892699,1025179.3899999999,24
2023-01-30,1034967.5319888927,5248.811988892699,1029718.72,24
2023-01-31,1034974.9156372302,135553.8856372302,899421.0299999999,22
2023-02-01,1040930.0113296704,15024.301329670234,1025905.7100000002,24
2023-02-02,1043633.8737042699,23381.50370427024,1020252.3699999996,25
2023-02-03,1056096.188330958,118345.97833095776,937750.2100000001,24
2023-02-06,1060910.8815883477,36417.451588347794,1024493.4299999999,23
2023-02-07,1061697.7174083474,8335.2674083478,1053362.4499999997,25
2023-02-08,1062348.0120047575,48868.6820047578,1013479.3299999997,23
2023-02-09,1060163.5689947577,7164.058994757806,1052999.51,24
2023-02-10,1054693.268994758,7164.058994757806,1047529.2100000001,24
2023-02-13,1065932.7929025202,101655.30290252031,964277.4899999999,22
2023-02-14,1060953.5606912703,30042.05069127032,1030911.5099999999,26
2023-02-15,1056247.1944980002,8329.234498000325,1047917.96,26
2023-02-16,1062675.6858314753,176421.16583147534,886254.5199999999,25
2023-02-17,1070853.7236460755,78243.21364607538,992610.51,25
2023-02-20,1076336.0859656555,38921.76596565537,1037414.3200000001,24
2023-02-21,1067813.491631053,40021.471631052875,1027792.02,23
2023-02-22,1059799.685920203,57146.28592020287,1002653.4000000001,24
2023-02-23,1058419.0642836026,43547.97428360287,1014871.0899999999,24
2023-02-24,1062643.7721236276,83300.00212362784,979343.7699999998,24
2023-02-27,1065682.2721486278,19226.092148627853,1046456.1799999999,26
2023-02-28,1079522.1783547974,25501.788354797864,1054020.3899999997,26
2023-03-01,1080459.3593259477,93176.99932594788,987282.3599999999,26
2023-03-02,1082256.8477021977,26156.917702197883,1056099.93,27
2023-03-03,1083094.178826323,61931.6288263229,1021162.55,26
2023-03-06,1086344.8843385633,63164.78433856291,1023180.1000000003,26
2023-03-07,1093744.0722831131,32777.92228311292,1060966.1500000001,27
2023-03-08,1080261.6519047506,64103.61190475043,1016158.0400000002,25
2023-03-09,1083367.5696108504,10915.23961085044,1072452.33,26
2023-03-10,1076828.6018179005,43924.51181790043,1032904.0900000001,29
2023-03-13,1073010.5593707254,59925.01937072543,1013085.5399999999,27
2023-03-14,1069271.5923945156,57520.93239451545,1011750.6600000001,27
2023-03-15,1072913.0968088405,123162.46680884043,949750.63,28
2023-03-16,1073991.2224299104,249985.39242991045,824005.83,28
2023-03-17,1077917.9818216404,21723.81182164051,1056194.17,28
2023-03-20,1073496.3994684608,72826.02946846053,1000670.3700000002,27
2023-03-21,1070647.7129211356,74901.4329211355,995746.28,28
2023-03-22,1070673.731286548,116643.681286548,954030.05,25
2023-03-23,1055511.0890652856,37352.09906528549,1018158.9900000001,25
2023-03-24,1057004.6343781855,90837.25437818552,966167.3799999999,27
2023-03-27,1064995.0129462979,284457.842946298,780537.1699999999,25
2023-03-28,1060945.5248792453,41933.57487924556,1019011.9499999998,24
2023-03-29,1061712.8440402206,64163.23404022056,997549.6100000001,22
2023-03-30,1068907.935480221,7698.315480220562,1061209.6200000003,24
2023-03-31,1077030.6749433957,79678.62494339555,997352.05,22
2023-04-03,1065186.611533396,8534.191533395566,1056652.4200000004,25
2023-04-04,1066965.1032635206,216828.83326352056,850136.2700000001,23
2023-04-05,1063804.9253017805,136628.5353017805,927176.39,22
2023-04-06,1071619.5768317808,12446.056831780523,1059173.5200000003,24
2023-04-07,1078118.2551951804,67233.78519518054,1010884.47,24
2023-04-10,1077324.8771669306,84285.82716693055,993039.0499999999,24
2023-04-11,1084957.6355893079,94664.20558930804,990293.4299999999,23
2023-04-12,1075205.248239308,12004.328239308055,1063200.92,23
2023-04-13,1074749.736417158,69613.84641715806,1005135.8899999999,22
2023-04-14,1069654.901167643,64168.77116764306,1005486.13,23
2023-04-17,1063473.0377372056,247091.2977372057,816381.7399999999,20
2023-04-18,1071314.7458985855,90402.24589858565,980912.4999999999,21
2023-04-19,1074906.7205713356,82265.31057133566,992641.4099999999,23
2023-04-20,1075823.8920713358,8142.812071335658,1067681.08,24
2023-04-21,1079287.0504206854,25148.080420685663,1054138.9699999997,22
2023-04-24,1093299.7403525107,48706.34035251067,1044593.4000000001,24
2023-04-25,1091324.1880083508,22596.968008350672,1068727.2200000002,26
2023-04-26,1084972.9975677505,38758.40756775066,1046214.5899999997,28
2023-04-27,1085248.1104698307,71998.03046983064,1013250.08,27
2023-04-28,1091207.790254701,102462.37025470065,988745.4200000002,23
2023-05-01,1095154.3578847006,11659.33788470067,1083495.02,26
2023-05-02,1095944.9095460759,69706.13954607568,1026238.7700000001,27
2023-05-03,1090331.6109299858,30805.320929985683,1059526.29,26
2023-05-04,1091103.1485668558,17695.338566855688,1073407.81,27
2023-05-05,1093434.6838678808,71495.22386788068,1021939.4600000001,27
2023-05-08,1090939.5446451604,211859.43464516063,879080.1099999999,26
2023-05-09,1090396.6652462203,22007.19524622065,1068389.4699999997,28
2023-05-10,1094446.1534123404,15838.193412340652,1078607.9599999997,28
2023-05-11,1096489.1439156807,84094.99391568066,1012394.15,28
2023-05-12,1102377.9993448807,14592.909344880685,1087785.09,29
2023-05-15,1108313.5184809158,155213.44848091571,953100.0700000002,28
2023-05-16,1105024.887237241,72302.17723724071,1032722.7100000002,28
2023-05-17,1114612.7287450281,63988.71874502822,1050624.01,28
2023-05-18,1112088.416378331,60070.09637833074,1052018.32,28
2023-05-19,1114153.056265656,65306.18626565575,1048846.87,27
2023-05-22,1110083.5466818358,106923.73668183573,1003159.81,25
2023-05-23,1106518.4969207232,53757.14692072323,1052761.35,25
2023-05-24,1104699.7316988984,83797.03169889822,1020902.7000000001,28
2023-05-25,1102901.290160318,16492.310160318233,1086408.9799999997,27
2023-05-26,1099117.7837776933,102236.67377769326,996881.1100000001,28
2023-05-29,1102162.116770516,280460.51677051577,821701.6000000001,27
2023-05-30,1099217.649658678,48898.98965867826,1050318.66,28
2023-05-31,1097304.7236089907,48611.60360899077,1048693.1199999999,31
2023-06-01,1087682.316578476,30449.05657847576,1057233.2600000002,30
2023-06-02,1087113.380000563,101384.58000056326,985728.7999999999,29
2023-06-05,1087368.7774410632,40207.467441063236,1047161.31,31
2023-06-06,1080750.543974128,87768.91397412821,992981.6299999999,32
2023-06-07,1080549.6947458908,38513.90474589073,1042035.7900000002,33
2023-06-08,1085217.3932919032,171177.61329190322,914039.78,31
2023-06-09,1083379.1065750632,16100.426575063226,1067278.68,30
2023-06-12,1074990.7537270833,93303.0237270832,981687.7300000002,28
2023-06-13,1072241.946716283,48316.48671628322,1023925.4599999997,29
2023-06-14,1071240.9878746958,52042.79787469574,1019198.1900000001,28
2023-06-15,1067757.377575496,39341.57757549574,1028415.8000000002,29
2023-06-16,1064676.7804412204,105243.45044122078,959433.3299999997,27
2023-06-19,1064627.022487371,31083.332487370808,1033543.6900000003,27
2023-06-20,1071595.327796686,47933.19779668582,1023662.1300000001,25
2023-06-21,1076277.251115811,56367.71111581083,1019909.5400000002,27
2023-06-22,1079232.2332820857,37280.97328208584,1041951.2599999999,27
2023-06-23,1087979.529262001,89075.65926200085,998903.8700000001,25
2023-06-26,1085783.8385546883,58982.05855468834,1026801.78,26
2023-06-27,1089190.1329773285,84985.71297732835,1004204.42,23
2023-06-28,1101149.4275924533,31805.14759245336,1069344.28,22
2023-06-29,1108347.9502406535,109858.93024065335,998489.02,22
2023-06-30,1101187.1248948034,42586.47489480338,1058600.65,24
2023-07-03,1100092.7614448033,7057.58144480338,1093035.18,27
2023-07-04,1110960.6001651136,26349.230165113382,1084611.37,25
2023-07-05,1124250.101848794,15270.881848793384,1108979.2200000004,27
2023-07-06,1122128.2578093812,66741.44780938087,1055386.8100000003,25
2023-07-07,1128459.5139250683,131418.37392506836,997041.1399999999,26
2023-07-10,1129447.8067627584,19393.376762758344,1110054.4300000002,25
2023-07-11,1129398.0593353282,11238.149335328342,1118159.91,26
2023-07-12,1126387.2705115909,46225.190511590845,1080162.08,26
2023-07-13,1122100.7752532708,9766.00525327085,1112334.77,27
2023-07-14,1118594.4860402457,221397.13604024588,897197.3499999999,26
2023-07-17,1116116.923039988,36119.11303998839,1079997.8099999996,27
2023-07-18,1114473.1254668634,156725.93546686336,957747.1900000001,28
2023-07-19,1100935.3200968634,14478.510096863392,1086456.81,29
2023-07-20,1101778.1349168639,4433.344916863394,1097344.7900000005,31
2023-07-21,1103453.5004353232,6861.930435323394,1096591.5699999998,30
2023-07-24,1097720.9717571985,147103.35175719837,950617.6200000001,28
2023-07-25,1101816.2768444736,257287.22684447336,844529.0500000002,27
2023-07-26,1097375.1835470707,70224.96354707085,1027150.22,27
2023-07-27,1099605.4954122107,42642.86541221086,1056962.63,28
2023-07-28,1096172.4659219857,45787.245921985836,1050385.2199999997,28
2023-07-31,1087936.237226736,164215.31722673593,923720.9200000002,28
2023-08-01,1087707.543798786,151637.11379878598,936070.4299999999,30
2023-08-02,1090374.305046436,115904.39504643592,974469.9099999999,31
2023-08-03,1090836.9735469185,105323.77354691843,985513.2,29
2023-08-04,1088064.9798684584,9478.53986845844,1078586.44,30
2023-08-07,1082297.8181312585,263348.34813125845,818949.4700000001,26
2023-08-08,1080807.5857324484,68536.63573244849,1012270.9499999998,26
2023-08-09,1077857.7590831832,56390.069083183495,1021467.6899999998,24
2023-08-10,1083577.1668138686,94680.16681386849,988897.0000000001,24
2023-08-11,1082240.352328106,95185.80232810603,987054.5499999999,23
2023-08-14,1078522.807558106,11857.837558106043,1066664.97,25
2023-08-15,1075536.9003451562,242960.13034515598,832576.7700000001,25
2023-08-16,1080170.0415349733,56642.48153497347,1023527.5599999999,27
2023-08-17,1082743.6973331438,19313.897333143475,1063429.8000000003,26
2023-08-18,1089963.2954398158,73832.235439816,1016131.0599999998,25
2023-08-21,1078949.5873533164,52932.267353316,1026017.3200000003,26
2023-08-22,1077387.487323116,77853.76732311599,999533.72,25
2023-08-23,1078904.2143399906,78627.26433999099,1000276.9499999997,27
2023-08-24,1079057.1054750532,77913.57547505347,1001143.5299999997,26
2023-08-25,1086542.5132378533,159400.28323785347,927142.2299999999,26
2023-08-28,1083562.1546978536,15768.304697853473,1067793.85,29
2023-08-29,1085666.1187854533,9012.998785453477,1076653.1199999999,29
2023-08-30,1084031.693415454,8412.033415453478,1075619.6600000004,29
2023-08-31,1078915.0193529136,108877.13935291347,970037.8800000002,25
2023-09-01,1081334.0595056259,123562.049505626,957772.0099999999,24
2023-09-04,1073423.238038491,104608.59803849099,968814.6399999999,25
2023-09-05,1068803.024787541,146066.04478754094,922736.9800000001,25
2023-09-06,1066877.611556341,39720.47155634091,1027157.1400000001,25
2023-09-07,1079279.695774841,191062.01577484093,888217.6799999999,23
2023-09-08,1080167.465829541,18327.65582954094,1061839.81,23
2023-09-11,1078616.0855945407,9236.065594540942,1069380.0199999998,23
