order_id,code,side,quantity,submit_ts,fill_ts,fill_price,status,phase,ts_event
O000001,000003.SZ,buy,8300,2023-01-09,,0.0,pending,submitted,2023-01-09
O000002,000017.SZ,buy,9500,2023-01-09,,0.0,pending,submitted,2023-01-09
O000003,000020.SZ,buy,8400,2023-01-09,,0.0,pending,submitted,2023-01-09
O000004,000026.SZ,buy,8600,2023-01-09,,0.0,pending,submitted,2023-01-09
O000005,000034.SZ,buy,9100,2023-01-09,,0.0,pending,submitted,2023-01-09
O000006,000036.SZ,buy,9600,2023-01-09,,0.0,pending,submitted,2023-01-09
O000007,000038.SZ,buy,9600,2023-01-09,,0.0,pending,submitted,2023-01-09
O000008,000041.SZ,buy,8200,2023-01-09,,0.0,pending,submitted,2023-01-09
O000009,000046.SZ,buy,8700,2023-01-09,,0.0,pending,submitted,2023-01-09
O000010,000048.SZ,buy,9100,2023-01-09,,0.0,pending,submitted,2023-01-09
O000001,000003.SZ,buy,8300,2023-01-09,2023-01-10,11.408396999999999,filled,filled,2023-01-10
O000002,000017.SZ,buy,9500,2023-01-09,2023-01-10,9.944534599999999,filled,filled,2023-01-10
O000003,000020.SZ,buy,8400,2023-01-09,2023-01-10,11.2099988,filled,filled,2023-01-10
O000004,000026.SZ,buy,8600,2023-01-09,2023-01-10,10.999888899999998,filled,filled,2023-01-10
O000005,000034.SZ,buy,9100,2023-01-09,2023-01-10,10.400590199999998,filled,filled,2023-01-10
O000006,000036.SZ,buy,9600,2023-01-09,2023-01-10,9.856546699999999,filled,filled,2023-01-10
O000007,000038.SZ,buy,9600,2023-01-09,2023-01-10,9.852742899999999,filled,filled,2023-01-10
O000008,000041.SZ,buy,8200,2023-01-09,2023-01-10,11.525814299999999,filled,filled,2023-01-10
O000009,000046.SZ,buy,8700,2023-01-09,2023-01-10,10.818207399999999,filled,filled,2023-01-10
O000010,000048.SZ,buy,9100,2023-01-09,2023-01-10,10.4018915,filled,filled,2023-01-10
O000011,000020.SZ,buy,400,2023-01-10,,0.0,pending,submitted,2023-01-10
O000012,000026.SZ,buy,400,2023-01-10,,0.0,pending,submitted,2023-01-10
O000013,000033.SZ,buy,400,2023-01-10,,0.0,pending,submitted,2023-01-10
O000014,000034.SZ,buy,400,2023-01-10,,0.0,pending,submitted,2023-01-10
O000015,000036.SZ,buy,500,2023-01-10,,0.0,pending,submitted,2023-01-10
O000016,000038.SZ,buy,500,2023-01-10,,0.0,pending,submitted,2023-01-10
O000017,000041.SZ,buy,400,2023-01-10,,0.0,pending,submitted,2023-01-10
O000018,000044.SZ,buy,500,2023-01-10,,0.0,pending,submitted,2023-01-10
O000019,000048.SZ,buy,500,2023-01-10,,0.0,pending,submitted,2023-01-10
O000020,000050.SZ,buy,500,2023-01-10,,0.0,pending,submitted,2023-01-10
O000011,000020.SZ,buy,400,2023-01-10,2023-01-11,11.408196799999999,filled,filled,2023-01-11
O000012,000026.SZ,buy,400,2023-01-10,2023-01-11,10.985874899999999,filled,filled,2023-01-11
O000013,000033.SZ,buy,400,2023-01-10,2023-01-11,10.980669699999998,filled,filled,2023-01-11
O000014,000034.SZ,buy,400,2023-01-10,2023-01-11,10.5609504,filled,filled,2023-01-11
O000015,000036.SZ,buy,500,2023-01-10,2023-01-11,9.588579,filled,filled,2023-01-11
O000016,000038.SZ,buy,500,2023-01-10,2023-01-11,10.083273199999999,filled,filled,2023-01-11
O000017,000041.SZ,buy,400,2023-01-10,2023-01-11,11.664552899999999,filled,filled,2023-01-11
O000018,000044.SZ,buy,500,2023-01-10,2023-01-11,10.298688399999998,filled,filled,2023-01-11
O000019,000048.SZ,buy,500,2023-01-10,2023-01-11,10.2957855,filled,filled,2023-01-11
O000020,000050.SZ,buy,500,2023-01-10,2023-01-11,10.0855755,filled,filled,2023-01-11
O000021,000034.SZ,sell,9500,2023-01-12,,0.0,pending,submitted,2023-01-12
O000021,000034.SZ,sell,9500,2023-01-12,2023-01-13,9.9516384,filled,filled,2023-01-13
O000022,000017.SZ,sell,9500,2023-01-13,,0.0,pending,submitted,2023-01-13
